CountryName,Year,AverageTemperature,NormalizedTemperature,TotalWasteGenerated,OrganicWastePercent,GlassWastePercent,MetalWastePercent,PaperWastePercent,PlasticWastePercent
Samoa,1958,26.621666666666663,0.9227319081284778,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1959,26.541666666666668,0.9212326788260412,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1960,26.522499999999997,0.9208734884723322,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1961,26.373083333333337,0.9180733654105938,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1962,26.348333333333333,0.9176095413451524,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1963,26.572083333333335,0.9218026983004052,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1964,26.3505,0.9176501454720932,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1965,26.109166666666667,0.9131274704097424,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1966,26.493583333333333,0.920331579547389,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1967,26.123666666666665,0.9133992057208092,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1968,26.239333333333335,0.9155668414205824,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1969,26.635166666666667,0.922984903073264,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1970,26.491,0.9202831669344976,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1971,26.136166666666668,0.9136334602993148,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1972,26.508166666666668,0.9206048765556456,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1973,26.81441666666667,0.9263441137290364,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1974,26.33441666666667,0.917348737914416,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1975,26.515,0.9207329357252289,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1976,26.478333333333335,0.920045788961612,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1977,26.50675,0.920578327703415,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1978,26.388500000000004,0.9183622793907508,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1979,26.623666666666665,0.9227693888610388,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1980,26.72125,0.9245981362705734,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1981,26.49791666666667,0.920412787801271,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1982,26.64108333333333,0.9230957835737564,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1983,26.6565,0.9233846975539136,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1984,26.594166666666663,0.9222165480557653,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
